index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
29,2008,"90,756 kms",First Owner,Diesel,Manual,Hyderabad,1.95 Lakh*,Hyundai,17.1 kmpl,1493 CC,110 ," 4,000 (PS",5,White,5 Speed,,,,Drum,173 kmph,11.5 seconds,4,4,4,DOHC,CRDI
30,2012,"80,000 kms",Second Owner,Petrol,Manual,Hyderabad,2 Lakh*,Chevrolet,18.6 kmpl,1199 CC,79.4bhp,6200rpm,5,White,5 Speed,,Power,Disc,Drum,,,5,4,4,DOHC,MPFI
31,2011,"70,000 kms",Second Owner,Petrol,Manual,Hyderabad,2 Lakh*,Maruti,20.92 kmpl,998 CC,67.1bhp,6200rpm,5,Brown,5 Speed,FWD,,Ventilated Disc,Drum,,13.3 Seconds,5,3,4,,
32,2008,"45,617 kms",First Owner,Petrol,Manual,Hyderabad,2.1 Lakh*,Hyundai,0.0 kmpl,1086 CC,62bhp,5500rpm,5,Silver,5 Speed,,Power,Ventilated Disc,Drum,141km/hr,16.2 seconds,5,4,3,SOHC,MPFI
33,2005,"1,00,283 kms",First Owner,Petrol,Manual,Hyderabad,2.1 Lakh*,Maruti,16.1 kmpl,1298 CC,88.2,6000 (PS,5,Blue,5 Speed,,Power,Ventilated Disc,Drum,160 kmph,12.29 seconds,5,4,4,,MPFI
34,2016,"26,000 kms",First Owner,Petrol,Manual,Hyderabad,2.1 Lakh*,Maruti,14.0 kmpl,796 CC,35 bhp , 5000 rpm,5,Silver,4 Speed,RWD,,,Drum,95 kmph,,5,3,2,,
35,2011,"91,000 kms",First Owner,Diesel,Manual,Hyderabad,2.1 Lakh*,Chevrolet,25.44 kmpl,936 CC,57.6bhp,4000rpm,5,Silver,5 Speed,,,Disc,Drum,,,5,3,4,DOHC,MPFI
36,2007,"86,281 kms",First Owner,Diesel,Manual,Hyderabad,2.2 Lakh*,Hyundai,16.8 kmpl,1493 CC,110 ," 4,000 (PS",5,Silver,5 Speed,,,Ventilated Disc,Disc & Drum,185 kmph,11.2 seconds,4,4,4,DOHC,CRDI
37,2008,"72,156 kms",First Owner,LPG,Manual,Hyderabad,2.2 Lakh*,Maruti,26.2 km/kg,998 CC,58.2bhp,6200rpm,5,Black,5 Speed,FWD,,,Drum,,,4,3,4,null,MPFI
38,2009,"96,000 kms",First Owner,Diesel,Manual,Hyderabad,2.25 Lakh*,Ford,17.8 kmpl,1399 CC,68 ," 4,000 (PS",5,White,5 Speed,FWD,Power,Ventilated Disc,Self-Adjusting Drum,156 kmph,17.6 seconds,4,4,2,SOHC,CRDI
39,2011,"60,101 kms",Test Drive Car,Petrol,Manual,Hyderabad,2.25 Lakh*,Maruti,19.0 kmpl,998 CC,66.1bhp,6200rpm,5,White,5 Speed,FWD,Power,Ventilated Disc,Drum,,,5,3,4,,MPFI
40,2008,"78,000 kms",First Owner,Petrol,Manual,Hyderabad,2.25 Lakh*,Hyundai,19.81 kmpl,1086 CC,68.05bhp,5500rpm,5,Silver,5 Speed,,,Ventilated Disc,Drum,165 Kmph,14.3 Seconds,5,4,3,SOHC,MPFI
41,2008,"65,000 kms",First Owner,Petrol,Manual,Hyderabad,2.25 Lakh*,Maruti,21.79 kmpl,998 CC,67.05bhp,5500rpm,5,Red,5 Speed,,,Disc,Drum,,18.6 Seconds,5,3,4,DOHC,MPFI
42,2009,"82,175 kms",First Owner,Petrol,Manual,Hyderabad,2.27 Lakh*,Maruti,19.0 kmpl,998 CC,66.1bhp,6200rpm,5,Silver,5 Speed,FWD,,Ventilated Disc,Drum,,,5,3,4,,MPFI
43,2010,"43,000 kms",Test Drive Car,Petrol,Manual,Hyderabad,2.3 Lakh*,Maruti,20.92 kmpl,998 CC,67.1bhp,6200rpm,5,Maroon,5 Speed,FWD,,,Drum,,13.3 Seconds,5,3,4,,
44,2011,"71,226 kms",First Owner,Petrol,Manual,Hyderabad,2.3 Lakh*,Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,Maroon,5 Speed,FWD,,Disc,Drum,137km/hr,17.7 seconds,5,3,4,SOHC,MPFI
45,2013,"1,10,000 kms",Third Owner,Petrol,Manual,Hyderabad,2.3 Lakh*,Tata,13.7 kmpl,1368 CC,88.8bhp,6000rpm,5,,5 Speed,FWD,Power,Ventilated Disc,Drum,,,4,4,4,,MPFI
