index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1161,2015,"44,182 kms",First Owner,Diesel,Automatic,Bangalore,17.99 Lakh*,Mercedes-Benz,20.0 kmpl,2143 CC,107.3bhp,3200-4400rpm,5,Red,7G DCT 7-Speed Dual Clutch Transmission,FWD,,,,,,,4,4,,Direct Injection
1162,2016,"70,000 kms",Second Owner,Petrol,Automatic,Bangalore,18 Lakh*,Skoda,14.67 kmpl,1798 CC,177.46bhp,5100-6200rpm,5,White,7 Speed,FWD,,,Disc,,,5,4,4,DOHC,Direct Injection
1163,2019,"33,000 kms",Second Owner,Diesel,Manual,Bangalore,18 Lakh*,Mahindra,15.1 kmpl,2179 CC,152.87bhp,3750rpm,7,White,6 Speed,FWD,,,Disc,,,5,4,4,DOHC,Direct Injection
1164,2019,"13,209 kms",First Owner,Petrol,Automatic,Bangalore,18 Lakh*,Kia,16.8 kmpl,1353 CC,138.08 bhp,,5,Orange,7 Speed DCT,2WD,,,,,,,,,,
1165,2019,"15,352 kms",First Owner,Petrol,Automatic,Bangalore,18 Lakh*,Kia,16.2 kmpl,1353 CC,138bhp,6000rpm,5,Grey,7 Speed,2WD,,,,,,,4,4,DOHC,GDI
1166,2016,"83,599 kms",First Owner,Petrol,Manual,Bangalore,18 Lakh*,Toyota,11.25 kmpl,2694 CC,163.7bhp,5200rpm,7,Bronze,5 Speed,RWD,,,,,,5,4,4,DOHC,Dual VVT-i
1167,2016,"60,000 kms",Second Owner,Diesel,Automatic,Bangalore,18.2 Lakh*,Volvo,16.8 kmpl,1984 CC,150 bhp,,5,Red,6 Speed,FWD,,,,,,,,,,
1168,2019,"48,000 kms",First Owner,Diesel,Automatic,Bangalore,18.25 Lakh*,Mahindra,15.1 kmpl,2179 CC,152.87bhp,3750rpm,7,Silver,6 Speed,FWD,,,,,,5,4,4,DOHC,Direct Injection
1169,2017,"80,000 kms",Second Owner,Diesel,Manual,Bangalore,18.25 Lakh*,Toyota,13.68 kmpl,2393 CC,147.51 bhp,,7,White,5 Speed,RWD,,,,,,,,,,
1170,2019,"14,800 kms",First Owner,Petrol,Automatic,Bangalore,18.35 Lakh*,MG,13.96 kmpl,1451 CC,141bhp,5000rpm,5,Black,6 Speed,FWD,,,,,,5,4,4,,
1171,2018,"34,417 kms",First Owner,Petrol,Automatic,Bangalore,18.45 Lakh*,Jeep,16.0 kmpl,1368 CC,160bhp,3750rpm,5,Grey,7 Speed,4X2,,,,,,5,4,4,DOHC,CRDI
1172,2018,"81,000 kms",Second Owner,Diesel,Manual,Bangalore,18.45 Lakh*,Toyota,13.68 kmpl,2393 CC,147.8bhp,3400rpm,7,White,5 Speed,RWD,,,Drum,,,5,7,4,DOHC,Direct Injection
1173,2016,"12,235 kms",First Owner,Diesel,Automatic,Bangalore,18.49 Lakh*,Mercedes-Benz,20.0 kmpl,2143 CC,134.1 bhp,,5,White,7 Speed,FWD,,,,,,,,,,
1174,2012,"90,000 kms",First Owner,Diesel,Automatic,Bangalore,18.5 Lakh*,Land,0.0 kmpl,2179 CC,115 bhp,,5,White,6 Speed,4WD,,,,,,,,,,
1175,2015,"80,000 kms",Second Owner,Petrol,Automatic,Bangalore,18.5 Lakh*,Toyota,19.16 kmpl,2487 CC,214.5 bhp,,5,White,CVT,FWD,,,,,,,,,,
1176,2014,"59,000 kms",Second Owner,Diesel,Automatic,Bangalore,18.5 Lakh*,BMW,22.69 kmpl,1995 CC,190bhp,4000rpm,5,White,8 Speed,RWD,,,,,7.2 Seconds,4,4,4,DOHC,CRDi
1177,2020,"23,000 kms",First Owner,Diesel,Automatic,Bangalore,18.6 Lakh*,Kia,17.8 kmpl,1493 CC,113.42 bhp,,5,Maroon,6-Speed,2WD,,,,,,,,,,
1178,2019,"23,370 kms",First Owner,Diesel,Manual,Bangalore,18.7 Lakh*,MG,17.41 kmpl,1956 CC,167.68 bhp,,5,White,6 Speed,FWD,,,,,,,,,,
1179,2020,"9,593 kms",First Owner,Petrol,Automatic,Bangalore,18.75 Lakh*,Kia,16.8 kmpl,1353 CC,138.08bhp,6000rpm,5,Red,7 Speed DCT,2WD,,,,,,,4,4,DOHC,GDI
1180,2011,"20,000 kms",First Owner,Petrol,Automatic,Bangalore,18.75 Lakh*,Volkswagen,17.68 kmpl,1395 CC,148 bhp,,4,Yellow,7 Speed,FWD,,,,,,,,,,
1181,2019,"6,800 kms",First Owner,Diesel,Manual,Bangalore,18.75 Lakh*,Tata,17.0 kmpl,1956 CC,138.1 bhp,,5,Black,6,FWD,,,,,,,4,4,DOHC,CRDI
1182,2017,"47,043 kms",First Owner,Diesel,Automatic,Bangalore,18.95 Lakh*,Toyota,11.36 kmpl,2755 CC,171.5bhp,3400rpm,7,Golden,6 Speed,RWD,,,,,,5,4,4,DOHC,Direct Injection
1183,2017,"50,000 kms",First Owner,Diesel,Manual,Bangalore,19 Lakh*,Toyota,13.68 kmpl,2393 CC,147.8bhp,3400rpm,8,,5 Speed,RWD,,,,,,5,7,4,DOHC,Direct Injection
1184,2020,"19,412 kms",First Owner,Diesel,Manual,Bangalore,19 Lakh*,MG,17.41 kmpl,1956 CC,167.68 bhp,,5,White,6 Speed,FWD,,,,,,,,,,
