index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1879,2015,"36,121 kms",Second Owner,Diesel,Manual,Mumbai,10.2 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6 bhp,,8,Golden,5 Speed,,,,,,,,,,,
1880,2016,"59,000 kms",First Owner,Diesel,Manual,Mumbai,10.25 Lakh*,Hyundai,19.67 kmpl,1582 CC,126.2bhp,4000rpm,5,Red,6 Speed,FWD,,,,190 Kmph,10.5 Seconds,5,4,4,DOHC,CRDi
1881,2019,"40,000 kms",First Owner,Diesel,Manual,Mumbai,10.25 Lakh*,Maruti,25.47 kmpl,1248 CC,88.50bhp,4000rpm,7,Blue,5 Speed,FWD,,,,,,5,4,4,DOHC,CRDI
1882,2010,"72,000 kms",First Owner,Diesel,Automatic,Mumbai,10.25 Lakh*,Mercedes-Benz,14.21 kmpl,2143 CC,203 bhp,,5,Silver,5 Speed,,,,,,,,,,,
1883,2017,"63,900 kms",First Owner,Diesel,Manual,Mumbai,10.25 Lakh*,Hyundai,19.67 kmpl,1582 CC,126.2bhp,4000rpm,5,White,6 Speed,FWD,,,,,10.5 Seconds,5,4,4,DOHC,CRDi
1884,2020,"2,500 kms",First Owner,Petrol,Automatic,Mumbai,10.25 Lakh*,Volkswagen,16.47 kmpl,999 CC,108.62bhp,5000-5500rpm,5,Red,6 Speed,FWD,,Disc,Drum,,,5,3,4,DOHC,TSI
1885,2011,"1,52,000 kms",Second Owner,Diesel,Manual,Mumbai,10.25 Lakh*,Toyota,11.5 kmpl,2982 CC,171 PS , 3600 rpm,7,White,5 Speed,4WD,,Ventilated Disc,Leading-Trailing Drum,176 Kmph,9.6 Seconds,5,4,4,DOHC,Common-Rail type
1886,2019,"7,000 kms",First Owner,Petrol,Manual,Mumbai,10.25 Lakh*,Maruti,21.56 kmpl,1462 CC,103.25bhp,6000rpm,5,Grey,5 Speed,FWD,,Ventilated Disc,Drum,,,4,4,4,DOHC,MPFI
1887,2017,"26,299 kms",First Owner,Petrol,Automatic,Mumbai,10.25 Lakh*,Honda,18.4 kmpl,1498 CC,119.35bhp,6600rpm,5,Brown,7 Speed,FWD,,,,,,4,4,4,DOHC,Direct Injection
1888,2017,"17,000 kms",First Owner,Petrol,Automatic,Mumbai,10.25 Lakh*,Honda,18.0 kmpl,1497 CC,117.6bhp,6600rpm,5,Maroon,CVT,FWD,,,,,10 Seconds,4,4,4,SOHC,PGM-Fi
1889,2020,"13,000 kms",First Owner,Petrol,Manual,Mumbai,10.25 Lakh*,Maruti,17.03 kmpl,1462 CC,103.26 bhp,,5,White,5 Speed,FWD,,,,,,,,,,
1890,2017,"17,000 kms",First Owner,Petrol,Automatic,Mumbai,10.25 Lakh*,Honda,18.0 kmpl,1497 CC,117.6bhp,6600rpm,5,Maroon,CVT,FWD,,,,,,4,4,4,SOHC,PGM-Fi
1891,2018,"43,911 kms",First Owner,Diesel,Automatic,Mumbai,10.35 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5bhp,4000rpm,5,White,5 Speed,FWD,,,,172 kmph,12.36 Seconds,5,4,4,DOHC,CRDi
1892,2014,"1,22,000 kms",First Owner,Diesel,Manual,Mumbai,10.35 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6bhp,3600rpm,7,Golden,5 Speed,FWD,,,,,,,4,4,DOHC,Common Rail
1893,2018,"21,823 kms",First Owner,Diesel,Automatic,Mumbai,10.35 Lakh*,Maruti,24.3 kmpl,1248 CC,88.5 bhp,,5,Grey,5 Speed,FWD,,,,,,,,,,
1894,2017,"25,859 kms",First Owner,Petrol,Automatic,Mumbai,10.35 Lakh*,Honda,18.0 kmpl,1497 CC,117.6bhp,6600rpm,5,Silver,CVT,FWD,,,,,,4,4,4,SOHC,PGM-Fi
1895,2011,"1,19,000 kms",Second Owner,Diesel,Manual,Mumbai,10.4 Lakh*,Toyota,11.5 kmpl,2982 CC,171 PS , 3600 rpm,7,White,5 Speed,4WD,,,Leading-Trailing Drum,176 Kmph,9.6 Seconds,5,4,4,DOHC,Common-Rail type
1896,2020,"4,700 kms",First Owner,Petrol,Automatic,Mumbai,10.4 Lakh*,Hyundai,18.15 kmpl,998 CC,118.35bhp,6000rpm,5,Grey,7-Speed DCT,,,,,,,5,3,4,,GDi
1897,2016,"53,000 kms",First Owner,Petrol,Automatic,Mumbai,10.45 Lakh*,Hyundai,13.0 kmpl,1591 CC,121.3bhp,6400rpm,5,White,6 Speed,FWD,,,,,,5,4,4,DOHC,MPFi
1898,2016,"43,000 kms",First Owner,Diesel,Manual,Mumbai,10.45 Lakh*,Hyundai,21.38 kmpl,1396 CC,88.7bhp,4000rpm,5,White,6 Speed,FWD,,,,,,5,4,4,DOHC,CRDi
1899,2012,"55,001 kms",Second Owner,Diesel,Automatic,Mumbai,10.45 Lakh*,Audi,16.55 kmpl,1968 CC,147.51 bhp,,5,White,7 Speed,,,,,,,,,,,
1900,2009,"36,261 kms",Second Owner,Petrol,Automatic,Mumbai,10.49 Lakh*,Volkswagen,17.68 kmpl,1395 CC,148bhp,5000-6000rpm,4,White,7 Speed,FWD,,,,208 Kmph,9.7 Seconds,2,4,4,DOHC,Direct Injection
1901,2015,"30,013 kms",First Owner,Petrol,Automatic,Mumbai,10.49 Lakh*,Skoda,13.7 kmpl,1798 CC,157.75bhp,4500-6200rpm,5,Black,7 Speed,FWD,,,Disc,205 Kmph,9.1 Seconds,4,4,4,DOHC,Direct Injection
1902,2010,"74,000 kms",Second Owner,Diesel,Automatic,Mumbai,10.49 Lakh*,Mercedes-Benz,11.5 kmpl,2987 CC,210bhp,4000rpm,5,Maroon,7 Speed,RWD,,,,250km/hr,6.2 Seconds,4,6,4,,
1903,2013,"67,000 kms",Second Owner,Petrol,Automatic,Mumbai,10.5 Lakh*,Mercedes-Benz,11.9 kmpl,1595 CC,120.7bhp,5000rpm,5,White,7G DCT 7-Speed Dual Clutch Transmission,FWD,,,Disc,190km/hr,10.2 Seconds,5,4,4,,Direct Injection
